id	lastName	givenName1	givenName2	dateOfBirth	sex	countryOfCitizenship	isAlive	nominalLocality	nominalPostcode	recordDate
op3-c8a	KEIFER	REY	WARREN	1972-02-27	M	China	Y	China		2007-02-24
uy3-0pt	POWELL	ERNESTINE	MICHELLE	1940-12-10	F	Australia	Y	Newton	5074	2000-08-16
d2k-2bn	JOB	SALVADOR	RUDOLF	1950-05-25	M	Australia	Y	Jindalee (WA)	6036	2004-09-24
wty-6k2	PIRTLE	MARCELLE	DIANN	1982-07-05	F	Liberia	Y	Liberia		2014-03-15
xcx-jbo	TIERNEY	MARISA	BARB	2006-05-27	F	Australia	Y	Castle Cove	2069	2016-05-27
i22-p2g	HUTCHINS	LAVERN	TAMIKA	1974-09-26	F	Australia	Y	Essendon North	3041	2010-04-06
zwe-whj	DYKSTRA	JIMMY	BENNIE	1981-04-10	M	Australia	Y	Narrabri	2390	2016-11-20
zwv-3dh	LEIS	CHEYENNE	BLANCHE	1979-02-02	F	Australia	Y	Windsor Gardens	5087	2007-04-15
8u2-sbx	YOUNG	EVELIA	MARCELA	1943-12-17	F	Australia	Y	Camp Mountain	4520	2005-09-09
72b-h67	SOKOLOWSKI	CORDELL	HUGO	1961-11-23	M	Singapore	Y	Singapore		2004-02-28
qm8-375	WINTON	GISELLE	SHEENA	2008-03-20	F	Greece	Y	Greece		2017-08-27
2ii-qdc	KNOPP	WILBURN	MAURO	1952-12-08	M	Guyana	Y	Guyana		2012-07-11
ezv-sxu	SWEITZER	MAYNARD	FRANK	1943-09-12	M	New Zealand	Y	New Zealand		2003-04-07
93n-9yo	MANSELL	MINA	LILLY	1944-07-11	F	Liberia	Y	Liberia		2008-06-20
ak5-4og	BUCKINGHAM	KIM	BOBBY	1972-01-27	F	Germany	Y	Germany		2013-08-24
qgh-jz2	CARY	ELLSWORTH	GLENN	1966-03-03	M	Cameroon	Y	Cameroon		2009-08-27
62v-dsm	HOLBROOK	CLAIR	RICH	1965-06-25	M	Guinea	Y	Guinea		2014-04-15
i8z-omq	BOLLING	MINERVA	TISHA	1979-10-13	F	Australia	Y	Lewisham (NSW)	2049	2011-04-07
zqv-t23	PICK	TRENTON	AUGUSTINE	1980-04-15	M	Australia	Y	Adelaide	5000	2009-10-17
aqp-bn8	MCCARTER	JOCELYN	DORI	1971-11-10	F	Bulgaria	Y	Bulgaria		2001-04-10
4z8-hz8	DENNISON	RAUL	WALLACE	1949-06-04	M	Cyprus	Y	Cyprus		2012-07-15
bzv-dbj	SQUIRES	JEFF	ALVARO	2000-07-06	M	Australia	Y	Belmont (Qld)	4153	2010-04-14
85d-t0x	DYKSTRA	GLEN	BENNIE	1962-05-01	M	Australia	Y	Parkwood (WA)	6147	2010-07-08
df6-qe8	TOMAS	APRIL	ALECIA	1977-03-24	F	Australia	Y	Sunnyside (SA)	5253	2016-07-09
jko-gzh	MCCRACKEN	CHAD	RODRIGO	1953-04-24	M	Guatemala	N	Guatemala		2014-03-08
y62-4y9	PADDOCK	ANITA	SANDRA	1984-02-01	F	Philippines	Y	Philippines		2009-07-25
5v8-p3x	SLACK	EVIE	MIRNA	2000-05-11	F	Australia	Y	Bundanoon (NSW)	2578	2008-07-03
wq6-70s	LUX	CAROL	GERTRUDE	1948-10-08	F	French Guiana	N	French Guiana		2010-03-01
cxk-pu8	SAVILLE	ARIANA	ELFRIEDE	1974-04-17	F	Australia	Y	Sebastopol (Vic.)	3356	1999-09-03
cvu-p3d	MOUNCE	STEPHANY	DIANE	1981-09-11	F	Timor Leste	Y	Timor Leste		2006-06-07
524-s4j	MAHAFFEY	ADOLPH	NESTOR	1975-12-03	M	Germany	Y	Germany		2006-08-18
fi4-7k4	FULK	DION	KEN	1965-12-01	M	Australia	N	Numbugga	2550	2003-03-11
a7a-zu9	BINION	ELDON	ELIAS	1993-11-20	M	France	Y	France		2008-05-19
t4u-ncn	NOYES	LINNIE	LILIA	1965-06-23	F	India	Y	India		2016-05-19
vxg-dte	BANNER	VIVIANA	WINIFRED	1954-07-16	F	Canada	Y	Canada		1999-07-23
dcg-gwz	KIRKLAND	NADIA	JULIANA	1962-08-22	F	Australia	Y	Scotland Island	2105	2012-03-06
tih-ugf	WASHBURN	ELENA	AMI	1947-11-09	F	Australia	N	Wyndham Vale	3024	2014-07-01
v6d-a25	DRYER	CLEO	LIA	1958-08-22	F	Nigeria	Y	Nigeria		2013-12-07
kwn-rbu	DAVID	JAKE	BOB	1957-10-22	M	Ethiopia	Y	Ethiopia		2013-09-22
hpi-5r7	RUNNELS	WILLIAM	LIZ	1985-05-07	F	Australia	Y	Arakoon	2431	2014-10-03
8zb-7e7	BALLARD	SHELLY	EVELIA	1985-11-08	F	Indonesia	Y	Indonesia		2001-02-09
fx3-dfu	SHENK	LEILANI	KYLIE	1987-11-12	F	Australia	Y	Laverton (Vic.)	3028	2016-11-14
uvj-9c3	BODEN	ROSALIE	HELENE	2010-07-12	F	Egypt	Y	Egypt		2015-11-12
