id	lastName	givenName1	givenName2	dateOfBirth	sex	country	isAlive	locality	postcode	originalContext	recordDate
ov3-367	SCHRAM	ZACK	CARMINE	1987-04-01	M	Australia	Y	Denistone East	2112	null	2003-03-23
ozi-aat	SZABO	CHERRY	MARYLIN	1997-05-02	F	Australia	N	Parklea	2768	null	2015-06-17
wcn-eb9	GRINSTEAD	BOB	MATTHEW	1972-10-14	M	Australia	Y	Oatley	2223	null	2014-05-20
b5i-ccq	BEERY	ODESSA	ESTELLA	1972-07-08	F	Pakistan	Y	Pakistan		null	2002-08-06
x4y-ddz	BEANE	OLLIE	PERRY	1953-02-12	M	Australia	Y	Sandstone Point	4511	null	2010-04-04
yh5-gq6	TWYMAN	SHERI	FELIPA	1945-04-15	F	South Africa	Y	South Africa		null	2006-09-16
nab-zmr	DALESSANDRO	BRAIN	ANDY	2005-07-08	M	Australia	Y	Elsternwick	3185	null	2014-11-25
v7n-qmj	HOUGH	BERNICE	VIRGINA	1981-09-26	F	Australia	Y	Brighton East	3187	null	2016-10-07
tg6-6k6	ROST	HETTIE	MARIETTA	1958-01-21	F	Australia	Y	Leederville	6007	null	2004-02-14
484-0rp	KORN	ALPHA	DELILAH	1953-12-08	F	Argentina	Y	Argentina		null	2009-06-06
px6-9no	WIDMER	PAULINE	ELVERA	1948-02-05	F	Australia	Y	Bayview (NSW)	2104	null	2001-01-15
7qk-dav	JOE	GENA	LORAINE	2004-02-14	F	Australia	Y	Tingalpa	4173	null	2014-09-21
6ig-ig8	MEADE	KARL	JORDON	1980-08-08	M	Australia	Y	West Ballina	2478	null	2017-05-27
qcn-99d	WEEKLEY	JORDAN	STELLA	1982-06-12	F	Australia	Y	Seaford Meadows	5169	null	2015-11-13
syv-7ss	FARKAS	STACEY	RAFAEL	1978-11-20	M	Australia	Y	Landers Shoot	4555	null	2016-05-02
25e-q4z	HAMPTON	JORDAN	CORDELL	1967-02-22	M	Australia	Y	Cheltenham (NSW)	2119	null	2012-09-07
k75-yt3	DONAHOE	GREGG	ROSCOE	1967-04-28	M	Australia	N	Carseldine	4034	null	2005-12-24
2pp-j8h	FABRE	HARLAND	ELMO	1936-02-11	M	Australia	Y	Mount Waverley	3149	null	1999-11-09
x2w-gpa	RAMEY	DESHAWN	EDWIN	1993-02-05	M	Australia	Y	Dalkeith	6009	null	2015-12-14
k8k-9ki	HARRELSON	MARY	ELAINA	1978-10-22	F	French Guiana	Y	French Guiana		null	2012-05-11
d5x-7jt	BRACE	DALE	LENORE	1954-01-21	F	Myanmar/Burma	Y	Myanmar/Burma		null	1998-07-17
rer-nsj	KLEIN	TRISTAN	HUNTER	1971-03-06	M	Australia	Y	Oakdowns	7019	null	2016-08-28
uev-txt	ARMOUR	GEORGE	TONY	1960-10-03	F	Australia	Y	Northmead	2152	null	2014-06-05
o86-5ky	KEHOE	ANTONIA	RODNEY	2001-02-28	M	Australia	Y	Jacana	3047	null	2013-02-08
fxr-ys6	ARORA	PATRICK	HECTOR	2013-04-10	M	Australia	Y	Park Avenue	4701	null	2017-05-03
04s-rsc	LEATH	MALIK	COY	2001-01-24	M	Australia	Y	Mount Gravatt East	4122	null	2015-07-20
2pb-99s	GREENING	TIMOTHY	MEL	1994-06-05	M	Australia	Y	Beeliar	6164	null	2014-06-01
axk-2bj	UNDERWOOD	SHAD	DAVID	1985-06-18	M	Australia	Y	Dernancourt	5075	null	2015-03-20
q7z-wne	BARNER	VICKI	SOCORRO	1969-03-02	F	Australia	Y	Upwey	3158	null	2004-08-05
0xp-jeq	LOSEY	CRUZ	GINNY	1961-12-21	F	Australia	Y	Moorabbin Airport	3194	null	2015-02-10
43w-e40	LAMBETH	PILAR	SHANA	1955-03-25	F	Australia	Y	Watsons Bay	2030	null	2014-04-15
j5i-7xx	HERR	KAITLIN	SIOBHAN	1962-06-16	F	Australia	Y	West Kempsey	2440	null	2008-06-21
bi5-5dr	DUFFY	COLEMAN	RODERICK	1961-10-02	M	Australia	Y	Karrinyup	6018	null	2002-12-16
4zr-5i9	BARRON	LATOSHA	FREIDA	1967-10-01	F	Australia	Y	Robina	4226	null	2011-06-28
5b5-9a6	WYATT	LIANA	CORTNEY	2006-03-23	F	Tunisia	Y	Tunisia		null	2010-12-20
kpd-fj0	NADEAU	MIRTA	MIRA	1957-12-07	F	Australia	Y	Georgetown (NSW)	2298	null	2005-03-20
4s8-7ti	SLONE	SAM	WILTON	2008-10-26	M	Australia	Y	Acton (ACT)	2615	null	2014-08-02
4zs-jtx	RAHN	ALLIE	MEGAN	2000-08-21	F	Indonesia	Y	Indonesia		null	2007-07-03
qfb-rsr	ABRAHAMSON	JOHNIE	FRANCISCA	1953-12-02	F	Australia	Y	Morwell	3840	null	1998-03-13
mev-w38	TROUP	REINA	MEI	1950-01-02	F	France	N	France		null	1999-05-11
0ph-snc	WARFORD	ELIJAH	DORSEY	1970-10-05	M	Australia	Y	Shepparton	3630	null	2011-09-10
78t-e92	ASHFORD	HUMBERTO	ROBBY	1961-03-16	M	Australia	Y	Balcatta	6021	null	2001-05-05
s28-h7s	GASKIN	MARCELLA	JEANNIE	1962-11-10	F	Australia	Y	South Hedland	6722	null	2005-09-22
cke-nhi	BATTAGLIA	BRYAN	QUINTIN	1992-08-05	M	Australia	Y	Parramatta Park	4870	null	2011-03-07
fu5-kmg	HOSEY	VITO	MIKE	1957-05-03	M	Australia	Y	O'Connor (ACT)	2602	null	2016-07-22
bjo-od2	SWANEY	JOETTA	MARGARETE	1955-05-12	F	Australia	N	Bowen	4805	null	2017-02-21
9az-3w0	ANNIS	LISA	INES	1992-10-06	F	Australia	Y	Clearview	5085	null	1998-10-28
xmq-53n	NELMS	JACINTA	SUN	1998-01-04	F	Australia	Y	Carina Heights	4152	null	2007-03-17
rvt-gc6	HEYMAN	MAYBELLE	MA	1963-05-11	F	Australia	Y	Melton West	3337	null	2016-09-07
dyg-3em	BANGS	FELICIA	JULISSA	1951-09-07	F	Estonia	Y	Estonia		null	2005-09-22
ahz-ece	YOAKUM	DARNELL	KRISTOPHER	1965-10-12	M	Australia	Y	Bakers Hill	6562	null	2009-01-21
xi6-vp9	DEUTSCH	ALEX	CLINTON	1960-07-15	M	Australia	Y	Patonga	2256	null	2014-05-05
47c-wen	RICARD	TESSIE	CORINNE	2002-01-11	F	Australia	Y	Moranbah	4744	null	2016-07-24
vt3-qxa	FRIEND	OFELIA	EASTER	1941-10-06	F	Australia	Y	Melville (WA)	6156	null	1998-10-27
0eh-epg	FARRELL	VALENTINE	ELIAS	1938-08-26	M	Australia	N	Gapsted	3737	null	2002-03-26
zro-7s7	BROADBENT	REYNALDO	MILTON	1992-03-20	M	Australia	Y	Beauty Point	7270	null	2013-01-01
sth-o9g	CRON	NOLAN	GERARD	1990-12-08	M	Poland	N	Poland		null	2010-04-23
zbm-hf8	BART	SIBYL	ELNA	1953-09-12	F	Australia	Y	Bentley (WA)	6102	null	2012-09-14
5ox-hx7	CORRADO	LAWERENCE	JAKE	1936-07-06	M	Australia	N	Brunswick West	3055	null	1998-03-10
ky7-740	LEMLEY	SHIRLEY	GREGORY	1968-10-19	M	Australia	Y	Narre Warren South	3805	null	2003-08-02
edi-8ro	SPITZER	DESSIE	MALIA	1993-06-18	F	Australia	Y	Parkwood (Qld)	4214	null	1999-05-18
g37-0on	DUPUY	CHANTAL	NICOLE	1938-03-27	F	Australia	Y	Virginia (NT)	0835	null	1998-11-24
jch-bzu	REAVES	FELICITAS	HENRIETTA	1980-12-05	F	Australia	Y	Kings Park (NSW)	2148	null	2012-08-14
4bq-jaa	RAPP	IKE	REY	1983-06-26	M	Australia	Y	Warrnambool	3280	null	2014-04-25
ojv-ooy	HARDESTY	ELVIN	IRWIN	1932-04-23	M	Australia	Y	Geelong West	3218	null	1999-04-26
i44-f5e	HAGOOD	LAWANDA	AWILDA	1975-08-04	F	Australia	Y	Templestowe Lower	3107	null	2013-03-06
q0q-o2e	STINER	EARNEST	EFRAIN	1957-12-25	M	Australia	Y	Lake Tyers Beach	3909	null	2011-02-11
3iq-8p3	DOUCETTE	WILBERT	TONEY	1986-05-18	M	Australia	Y	Rowes Bay	4810	null	2012-04-10
jep-qdh	MCCARVER	JONATHAN	ANDY	1994-04-28	M	Australia	Y	Springfield (Ipswich - Qld)	4300	null	2006-03-02
869-i5f	SILVERMAN	SHON	CARY	1959-09-02	M	Australia	Y	Doonside	2767	null	2002-12-14
