id	lastName	givenName1	givenName2	dateOfBirth	sex	isAlive	locality	postcode	originalContext	recordDate
500006349	GOIN	DEWEY	DELMER	1952-11-25	M	N	Longwarry	3816	null	2014-03-01
500006348	LIVENGOOD	FLOSSIE	MITTIE	1995-05-24	F	Y	Maiden Gully	3551	null	2002-03-28
500006351	BISSETT	MOISES	HUBERT	1989-10-13	M	Y	Finland	International	null	2001-09-02
500006350	DINKEL	GARTH	GINO	1981-12-07	M	Y	Libya	International	null	2017-11-26
500006345	AMUNDSON	CHANG	KYLE	1973-12-17	M	Y	Mill Park	3082	null	2015-03-08
500006344	LOWRY	TRINIDAD	THANH	1959-06-10	M	Y	Guyana	International	null	2015-07-24
500006347	MICKEY	AMADA	BLANCA	1992-09-05	F	Y	Punchbowl (Canterbury - NSW)	2196	null	2017-05-09
500006346	SLATON	CLEMENT	ELDEN	1945-12-24	M	N	Hazelwood	3840	null	2010-11-23
500006341	HODGES	JARROD	ADOLFO	1967-02-16	M	Y	Green Valley (NSW)	2168	null	2017-10-10
500006340	FERRARI	LARA	DOVIE	1951-06-25	F	Y	Pakistan	International	null	2004-09-21
500006343	BYNUM	WALKER	JEWELL	1987-04-10	M	N	Trafalgar South	3824	null	2017-03-07
500006342	GERMAN	ISREAL	DENVER	1942-01-08	M	Y	Singapore	International	null	2001-04-22
500006337	BAKKE	BLANCHE	ISABELLA	1985-02-02	F	Y	Kings Park (NSW)	2148	null	2010-01-05
500006336	DAYTON	GEORGIE	JOYCELYN	1960-03-17	F	Y	Longwarry	3816	null	2011-06-08
500006339	WESSELS	BEVERLY	CARYN	1940-12-11	F	N	Cambodia	International	null	2007-03-12
500006338	MCBEE	DEWEY	EUGENIO	1955-12-15	M	Y	Migratory - Offshore - Shipping (OT)	9797	null	2007-02-10
500006365	OLLER	STEVIE	ANDRES	1958-05-12	M	Y	Marayong	2148	null	2002-08-27
500006364	HANNA	MITCHEL	KIM	1946-08-02	M	Y	Sawtell	2452	null	2003-05-26
500006367	STEVERSON	SHANIKA	CLARISSA	1986-06-24	F	Y	Largs	2320	null	2015-11-27
500006366	CHANCELLOR	ANGEL	JAMAAL	1987-08-10	M	Y	Thorneside	4158	null	2010-10-09
500006361	PELLERIN	ALFONZO	KRAIG	1978-10-23	M	Y	Conder	2906	null	2008-09-13
500006360	HOBBS	LACIE	EDEN	1958-06-18	F	Y	French Guiana	International	null	2015-10-20
500006363	MCMILLIN	SERENA	ROSARIO	1991-12-05	F	Y	Glenelg North	5045	null	2009-06-24
500006362	SMIT	JOHNSON	LANDON	1997-12-10	M	Y	Pakenham	3810	null	2007-12-18
500006357	GEARY	LELAND	DONOVAN	1970-02-15	M	Y	Harris Park	2150	null	2003-10-07
500006356	FRAHM	CHADWICK	RAYMUNDO	1954-08-16	M	Y	Timor Leste	International	null	2015-03-09
500006359	TUGGLE	FELIPE	JEFFEREY	2005-02-23	M	Y	Pagewood	2035	null	2012-04-15
500006358	MACKENZIE	SEAN	BURTON	1969-05-18	M	Y	Guthalungra	4805	null	2008-09-07
500006353	BRAHAM	TYLER	TONEY	2009-09-23	M	Y	Roxburgh Park	3064	null	2016-07-01
500006352	CARDIN	HARRISON	BASIL	1960-02-01	M	Y	Lethbridge Park	2770	null	2009-03-16
500006355	LAWS	CHET	FRANKLYN	1984-02-06	M	Y	Glenning Valley	2261	null	2000-11-14
500006354	DRESSER	KIETH	FRANK	1975-03-02	M	Y	Guatemala	International	null	2011-08-19
500006381	MAURO	LASHAWN	KIARA	1965-12-14	F	Y	Greystanes	2145	null	2006-04-23
500006380	PETROVICH	KAREN	VELIA	1959-06-11	F	Y	North Manly	2100	null	2007-07-19
500006383	HAGLER	CRISTINA	ERIKA	1994-10-17	F	Y	Lithuania	International	null	2013-01-18
500006382	HOLLOWAY	DARYL	ARNULFO	1941-12-14	M	Y	Smeaton Grange	2567	null	2002-06-11
500006377	VANMETER	DONG	THOMAS	1959-01-21	M	Y	Macarthur (ACT)	2904	null	2003-02-28
500006376	FOSTER	PHYLIS	CHRISTIANA	1967-03-16	F	Y	Reid (ACT)	2612	null	2014-07-08
500006379	ENGELS	ALTHEA	MARQUERITE	1968-11-23	F	Y	Macgregor (Qld)	4109	null	2002-05-12
500006378	TRAUTMAN	ARIEL	NESTOR	1996-08-11	M	Y	Noosa Heads	4567	null	2005-01-09
500006373	BIAS	STEFANI	KARON	1938-03-09	F	N	Wakool	2732	null	1999-02-11
500006372	LAKEY	FRANKLYN	BRENDON	1970-09-13	M	Y	Crows Nest (NSW)	2065	null	2014-06-19
500006375	HAGEN	ASHLY	SHIRLENE	1966-03-10	F	Y	Heywood	3304	null	1998-09-26
500006374	ROOF	QUINN	SCOTTY	1935-11-25	M	N	Ballajura	6066	null	1999-08-26
500006369	SANBORN	SAMUAL	JASON	1998-12-12	M	Y	Booval	4304	null	2003-09-09
500006368	WHISMAN	BERNARD	DOMINICK	1963-04-17	M	Y	Eight Mile Plains	4113	null	1998-09-21
500006371	HOWE	RUSSEL	KENNY	1988-09-12	M	Y	Kirribilli	2061	null	2013-05-11
500006370	BOOMER	LATONIA	DAWN	1965-02-02	F	Y	Botanic Ridge	3977	null	2014-03-03
500006397	MOZINGO	BOB	ARMANDO	1985-04-04	M	Y	Macquarie Fields	2564	null	2014-02-16
500006396	OSTRANDER	LYDIA	LORENZA	2002-02-10	F	Y	Brazil	International	null	2013-12-23
500006399	GOSS	MI	CHERISE	1980-08-15	F	Y	North Lakes	4509	null	1999-09-14
500006398	SCANNELL	MIMI	FRANCISCA	1982-05-17	F	N	Mount Eliza	3930	null	2007-12-21
500006393	BEHM	LEO	MORTON	1996-11-04	M	Y	Homebush West	2140	null	2003-09-14
500006392	KELLERMAN	KELLEY	EMMA	1982-09-18	F	Y	Flynn (NT)	0870	null	2006-04-21
500006395	BARR	DANNY	GERARDO	2005-08-19	M	Y	Wiley Park	2195	null	2013-04-20
500006394	LITTLE	LEANNA	XIOMARA	1954-05-13	F	Y	Cabramatta	2166	null	2017-01-16
500006389	BREAUX	STEPHAN	LEOPOLDO	1956-07-09	M	Y	Bassendean (WA)	6054	null	1998-04-04
500006388	RULE	EVAN	LELAND	1994-01-26	M	Y	Japan	International	null	2000-04-28
500006391	ECKARD	DOUGLASS	TEODORO	1961-06-04	M	Y	Kings Langley	2147	null	2003-04-05
